Mobile_Device,Rating,sentiment_label,sentiment_score,positive_probability,neutral_probability,negative_probability,rating_norm,satisfaction_score,score_agreement,review_len,Date,Additional_Information
iPhone 17 Pro Max,5,positive,0.9936,0.99,0.0071,0.0028,1.0,99.95,1,51,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9904,0.9827,0.0153,0.002,1.0,99.77,1,80,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9885,0.9794,0.0183,0.0023,1.0,99.66,1,74,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9928,0.9889,0.0078,0.0033,1.0,99.9,1,102,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,4,positive,0.989,0.9828,0.0124,0.0048,0.75,88.24,1,52,1 month ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,4,positive,0.987,0.9793,0.0153,0.0054,0.75,88.13,1,159,,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9872,0.9786,0.0172,0.0042,1.0,99.59,1,70,5 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9917,0.9868,0.0098,0.0033,1.0,99.84,1,58,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9934,0.9899,0.007,0.0031,1.0,99.94,1,98,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9937,0.9902,0.0069,0.0029,1.0,99.96,1,174,2 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9918,0.9872,0.0093,0.0036,1.0,99.85,1,171,2 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9927,0.9897,0.0058,0.0044,1.0,99.9,1,93,2 weeks ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9894,0.9831,0.0128,0.0042,1.0,99.71,1,91,2 weeks ago,Incentivized | Verified Purchaser | Best Buy Employee | Owned for 6 months
iPhone 17 Pro Max,5,positive,0.9886,0.9804,0.0164,0.0032,1.0,99.67,1,107,3 weeks ago,Incentivized | Verified Purchaser | Owned for 4 months
iPhone 17 Pro Max,5,positive,0.9945,0.9917,0.0055,0.0028,1.0,100.0,1,74,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.992,0.9876,0.0088,0.0036,1.0,99.86,1,67,5 months ago,Incentivized | Verified Purchaser | Owned for 1 week
iPhone 17 Pro Max,5,positive,0.9937,0.9894,0.0086,0.002,1.0,99.96,1,81,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9931,0.9893,0.0076,0.0032,1.0,99.92,1,101,3 weeks ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,neutral,0.6598,0.4245,0.4705,0.1049,1.0,81.27,0,76,1 week ago,Incentivized | Verified Purchaser | Owned for 4 months
iPhone 17 Pro Max,5,positive,0.9905,0.9845,0.0121,0.0034,1.0,99.78,1,68,5 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9904,0.9849,0.0109,0.0042,1.0,99.77,1,391,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9714,0.9459,0.051,0.0031,1.0,98.71,1,58,5 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,4,positive,0.9909,0.9846,0.0125,0.0029,0.75,88.35,1,161,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9933,0.9895,0.0076,0.003,1.0,99.93,1,76,2 weeks ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9895,0.9833,0.0124,0.0043,1.0,99.72,1,67,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9944,0.9915,0.0057,0.0028,1.0,99.99,1,67,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9922,0.988,0.0083,0.0037,1.0,99.87,1,65,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9925,0.9887,0.0077,0.0036,1.0,99.89,1,64,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9906,0.9856,0.01,0.0044,1.0,99.78,1,50,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9657,0.9417,0.048,0.0103,1.0,98.39,1,100,1 month ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9905,0.9846,0.0117,0.0037,1.0,99.78,1,54,5 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9086,0.8536,0.11,0.0364,1.0,95.19,1,65,2 weeks ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9929,0.9894,0.007,0.0036,1.0,99.91,1,62,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9927,0.9884,0.0086,0.003,1.0,99.9,1,57,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9918,0.9869,0.0098,0.0034,1.0,99.85,1,289,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9901,0.984,0.0122,0.0038,1.0,99.75,1,57,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9902,0.9855,0.0095,0.005,1.0,99.76,1,66,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.993,0.9893,0.0074,0.0032,1.0,99.92,1,79,3 weeks ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,4,positive,0.9254,0.8775,0.0958,0.0267,0.75,84.69,1,78,3 months ago,Incentivized | Verified Purchaser | Owned for 2 months
iPhone 17 Pro Max,5,positive,0.993,0.9891,0.0078,0.0031,1.0,99.92,1,61,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9921,0.9877,0.0087,0.0035,1.0,99.87,1,58,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9939,0.9898,0.0082,0.002,1.0,99.97,1,63,6 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9915,0.987,0.009,0.004,1.0,99.83,1,50,1 week ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.992,0.9871,0.0097,0.0031,1.0,99.86,1,58,2 weeks ago,Incentivized | Verified Purchaser | Owned for 6 months
iPhone 17 Pro Max,5,positive,0.9859,0.9754,0.0209,0.0037,1.0,99.52,1,59,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9941,0.9907,0.0069,0.0024,1.0,99.98,1,54,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9923,0.9871,0.0105,0.0025,1.0,99.88,1,59,2 weeks ago,Incentivized | Verified Purchaser | Owned for 5 months
iPhone 17 Pro Max,5,positive,0.9909,0.9865,0.0088,0.0047,1.0,99.8,1,51,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9926,0.9886,0.008,0.0034,1.0,99.89,1,258,5 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9882,0.9828,0.0107,0.0065,1.0,99.65,1,58,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.992,0.9884,0.0073,0.0043,1.0,99.86,1,75,1 month ago,Incentivized | Verified Purchaser | Owned for 4 months
iPhone 17 Pro Max,5,positive,0.9659,0.9376,0.0567,0.0058,1.0,98.4,1,71,1 month ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9919,0.9864,0.0111,0.0025,1.0,99.85,1,145,2 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9888,0.9806,0.0164,0.003,1.0,99.68,1,21,2 weeks ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,4,positive,0.9919,0.9867,0.0104,0.0029,0.75,88.41,1,117,5 days ago,Incentivized | Verified Purchaser | Owned for less than 1 week
iPhone 17 Pro Max,5,positive,0.9935,0.9901,0.0068,0.0031,1.0,99.94,1,58,3 weeks ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9695,0.9463,0.0462,0.0074,1.0,98.6,1,57,3 weeks ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9883,0.9797,0.0172,0.0031,1.0,99.65,1,62,1 month ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9874,0.9793,0.0164,0.0044,1.0,99.6,1,102,2 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9905,0.9852,0.0106,0.0042,1.0,99.78,1,185,4 months ago,Incentivized | Verified Purchaser | Owned for 2 months
iPhone 17 Pro Max,5,positive,0.9915,0.9854,0.0122,0.0024,1.0,99.83,1,200,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9874,0.9806,0.0136,0.0058,1.0,99.6,1,143,3 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9925,0.9885,0.0079,0.0036,1.0,99.89,1,51,,Incentivized | Verified Purchaser | Owned for 5 months
iPhone 17 Pro Max,4,positive,0.7813,0.6628,0.2369,0.1002,0.75,76.62,1,447,5 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9935,0.9894,0.0082,0.0024,1.0,99.94,1,126,2 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9912,0.9866,0.0093,0.0041,1.0,99.82,1,258,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9922,0.9884,0.0076,0.004,1.0,99.87,1,54,1 month ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9801,0.9667,0.0268,0.0065,1.0,99.19,1,87,1 month ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9722,0.959,0.0264,0.0145,1.0,98.75,1,207,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9937,0.9903,0.0068,0.003,1.0,99.96,1,74,2 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9927,0.9888,0.0078,0.0034,1.0,99.9,1,135,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,4,positive,0.9744,0.9541,0.0408,0.0052,0.75,87.43,1,73,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9899,0.9826,0.0145,0.0029,1.0,99.74,1,131,3 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9815,0.9702,0.0225,0.0073,1.0,99.27,1,54,1 month ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9905,0.9852,0.0107,0.0041,1.0,99.78,1,58,2 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9924,0.9886,0.0076,0.0038,1.0,99.88,1,52,2 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,1,negative,0.0685,0.0144,0.1081,0.8774,0.0,2.38,1,661,1 month ago,Incentivized | Verified Purchaser | Owned for 5 months
iPhone 17 Pro Max,5,positive,0.9931,0.9897,0.0068,0.0035,1.0,99.92,1,50,2 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9826,0.9685,0.0283,0.0032,1.0,99.33,1,99,3 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9936,0.9901,0.007,0.0029,1.0,99.95,1,138,4 months ago,Incentivized | Verified Purchaser | Owned for 1 week
iPhone 17 Pro Max,5,positive,0.9927,0.9895,0.0065,0.0041,1.0,99.9,1,189,6 months ago,Incentivized | Verified Purchaser | Owned for 1 week
iPhone 17 Pro Max,5,positive,0.9916,0.9867,0.0099,0.0034,1.0,99.84,1,75,3 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9904,0.9855,0.0097,0.0048,1.0,99.77,1,83,3 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9799,0.9671,0.0255,0.0074,1.0,99.18,1,147,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9527,0.9107,0.0839,0.0053,1.0,97.66,1,63,3 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9852,0.9747,0.021,0.0043,1.0,99.48,1,80,3 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9918,0.9865,0.0107,0.0028,1.0,99.85,1,58,3 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9932,0.9899,0.0066,0.0035,1.0,99.93,1,71,4 months ago,Incentivized | Verified Purchaser | Owned for less than 1 week
iPhone 17 Pro Max,5,positive,0.9928,0.9889,0.0078,0.0033,1.0,99.9,1,68,4 months ago,Incentivized | Verified Purchaser | Owned for 1 week
iPhone 17 Pro Max,5,positive,0.9916,0.9859,0.0114,0.0027,1.0,99.84,1,95,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,4,positive,0.9879,0.9795,0.0169,0.0037,0.75,88.18,1,51,3 weeks ago,Incentivized | Verified Purchaser | Owned for 2 months
iPhone 17 Pro Max,5,positive,0.9378,0.8852,0.1052,0.0096,1.0,96.83,1,115,5 months ago,Incentivized | Verified Purchaser | Owned for less than 1 week
iPhone 17 Pro Max,5,positive,0.9769,0.9565,0.0408,0.0028,1.0,99.01,1,84,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9914,0.9848,0.0132,0.002,1.0,99.83,1,73,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9926,0.9892,0.007,0.0039,1.0,99.89,1,57,4 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9919,0.9878,0.0082,0.004,1.0,99.85,1,60,,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9932,0.9889,0.0085,0.0025,1.0,99.93,1,87,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9914,0.9861,0.0106,0.0033,1.0,99.83,1,128,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9879,0.9829,0.0099,0.0072,1.0,99.63,1,50,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9937,0.9892,0.0091,0.0018,1.0,99.96,1,72,4 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9902,0.9843,0.0119,0.0038,1.0,99.76,1,91,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9896,0.9819,0.0156,0.0026,1.0,99.73,1,63,,Incentivized | Verified Purchaser | Best Buy Employee | Owned for 2 months
iPhone 17 Pro Max,5,positive,0.9895,0.9827,0.0136,0.0037,1.0,99.72,1,82,5 months ago,Incentivized | Verified Purchaser | Owned for less than 1 week
iPhone 17 Pro Max,5,positive,0.9913,0.9866,0.0093,0.0041,1.0,99.82,1,69,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9922,0.9883,0.0078,0.0039,1.0,99.87,1,87,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9927,0.9891,0.0071,0.0037,1.0,99.9,1,91,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,neutral,0.5941,0.2793,0.6295,0.0912,1.0,77.59,0,96,5 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9009,0.822,0.1577,0.0203,1.0,94.76,1,0,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9912,0.986,0.0102,0.0037,1.0,99.82,1,86,5 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9311,0.8722,0.1178,0.01,1.0,96.45,1,76,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9823,0.968,0.0287,0.0033,1.0,99.32,1,108,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9921,0.9887,0.0068,0.0045,1.0,99.87,1,53,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9623,0.9401,0.0444,0.0155,1.0,98.2,1,79,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,4,neutral,0.4597,0.2397,0.4401,0.3202,0.75,58.62,0,216,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,4,neutral,0.4597,0.2397,0.4401,0.3202,0.75,58.62,0,216,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9672,0.9392,0.0559,0.0049,1.0,98.47,1,58,5 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9581,0.9333,0.0496,0.0171,1.0,97.96,1,70,5 months ago,Incentivized | Verified Purchaser | Owned for 1 week
iPhone 17 Pro Max,5,positive,0.9889,0.9806,0.0167,0.0027,1.0,99.69,1,70,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9869,0.9799,0.014,0.0062,1.0,99.57,1,52,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9865,0.9763,0.0204,0.0033,1.0,99.55,1,72,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9829,0.971,0.0238,0.0052,1.0,99.35,1,63,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9902,0.9853,0.0099,0.0048,1.0,99.76,1,73,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,4,positive,0.9697,0.9509,0.0376,0.0115,0.75,87.16,1,188,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.992,0.9885,0.007,0.0045,1.0,99.86,1,72,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9826,0.9697,0.0258,0.0045,1.0,99.33,1,66,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9914,0.9877,0.0074,0.0049,1.0,99.83,1,74,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9898,0.9829,0.0139,0.0032,1.0,99.74,1,62,6 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.8839,0.7915,0.1847,0.0237,1.0,93.81,1,59,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,4,positive,0.9827,0.9676,0.0302,0.0022,0.75,87.89,1,53,2 months ago,Incentivized | Verified Purchaser | Owned for 2 months
iPhone 17 Pro Max,5,positive,0.9345,0.8751,0.1189,0.006,1.0,96.64,1,58,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9875,0.9805,0.0141,0.0054,1.0,99.61,1,50,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9908,0.9845,0.0128,0.0028,1.0,99.79,1,65,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9938,0.9908,0.006,0.0032,1.0,99.96,1,52,6 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9918,0.9866,0.0104,0.003,1.0,99.85,1,58,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,4,positive,0.9268,0.8708,0.1121,0.0171,0.75,84.76,1,75,4 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,4,positive,0.8442,0.7412,0.206,0.0528,0.75,80.14,1,76,3 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9843,0.9782,0.0121,0.0097,1.0,99.43,1,54,6 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,4,positive,0.953,0.9213,0.0634,0.0153,0.75,86.23,1,57,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,4,negative,0.2427,0.1491,0.1872,0.6637,0.75,46.48,0,79,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,3,negative,0.0484,0.0122,0.0723,0.9155,0.5,24.15,1,73,2 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,1,negative,0.0958,0.0211,0.1495,0.8294,0.0,3.91,1,345,1 month ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,2,negative,0.0432,0.006,0.0743,0.9197,0.25,12.42,1,351,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,1,negative,0.0698,0.009,0.1216,0.8694,0.0,2.46,1,214,1 month ago,Incentivized | Verified Purchaser | Owned for 2 months
iPhone 17 Pro Max,3,negative,0.0423,0.0086,0.0674,0.9241,0.5,23.81,1,64,5 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,1,negative,0.0275,0.0089,0.0372,0.9539,0.0,0.09,1,266,2 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,1,negative,0.0516,0.0067,0.0898,0.9035,0.0,1.44,1,70,1 month ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,1,negative,0.0411,0.0056,0.071,0.9234,0.0,0.85,1,137,3 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9629,0.9335,0.0588,0.0077,1.0,98.23,1,421,5 months ago,Incentivized
iPhone 17 Pro Max,1,negative,0.0556,0.0104,0.0905,0.8992,0.0,1.66,1,128,6 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,1,negative,0.0492,0.006,0.0865,0.9075,0.0,1.3,1,83,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,1,negative,0.0527,0.0103,0.0847,0.905,0.0,1.5,1,66,6 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9912,0.9853,0.0118,0.0029,1.0,99.82,1,1573,7 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9858,0.9768,0.0181,0.0051,1.0,99.51,1,1468,6 months ago,Incentivized | Verified Purchaser | Owned for 1 week
Google Pixel 10 Pro,5,positive,0.9385,0.893,0.0911,0.0159,1.0,96.87,1,903,3 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9905,0.9855,0.01,0.0045,1.0,99.78,1,485,7 months ago,Incentivized | Verified Purchaser | Owned for 1 week
Google Pixel 10 Pro,5,positive,0.9711,0.9481,0.0459,0.006,1.0,98.69,1,877,2 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.9817,0.9698,0.0239,0.0064,1.0,99.28,1,860,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9711,0.9489,0.0444,0.0067,1.0,98.69,1,1608,7 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9867,0.9765,0.0205,0.003,1.0,99.56,1,304,5 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,4,positive,0.9895,0.9831,0.0129,0.004,0.75,88.27,1,337,4 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9692,0.9505,0.0374,0.0121,1.0,98.58,1,768,6 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,4,positive,0.9836,0.9741,0.019,0.0069,0.75,87.94,1,429,6 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9894,0.9832,0.0124,0.0044,1.0,99.71,1,75,3 months ago,Incentivized | Verified Purchaser | Owned for 1 week
Google Pixel 10 Pro,5,positive,0.9833,0.973,0.0205,0.0065,1.0,99.37,1,538,6 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.992,0.9882,0.0074,0.0043,1.0,99.86,1,80,7 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9931,0.9897,0.0068,0.0035,1.0,99.92,1,64,7 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9625,0.9324,0.0601,0.0075,1.0,98.21,1,328,1 week ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9922,0.9886,0.0072,0.0042,1.0,99.87,1,138,2 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9924,0.9879,0.009,0.0031,1.0,99.88,1,193,3 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9901,0.9825,0.0153,0.0022,1.0,99.75,1,213,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9892,0.984,0.0104,0.0056,1.0,99.7,1,219,4 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9888,0.9809,0.0157,0.0034,1.0,99.68,1,59,1 month ago,Incentivized | Verified Purchaser | Owned for 1 week
Google Pixel 10 Pro,5,positive,0.9748,0.9549,0.04,0.0052,1.0,98.9,1,202,,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.9918,0.9865,0.0105,0.003,1.0,99.85,1,190,6 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.981,0.9675,0.0272,0.0054,1.0,99.24,1,140,5 days ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.9799,0.9655,0.0289,0.0056,1.0,99.18,1,69,3 months ago,Incentivized | Verified Purchaser | Owned for 1 month
Google Pixel 10 Pro,5,positive,0.9944,0.9913,0.0062,0.0025,1.0,99.99,1,96,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.988,0.9815,0.013,0.0055,1.0,99.64,1,158,6 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
Google Pixel 10 Pro,5,positive,0.9945,0.9905,0.0081,0.0014,1.0,100.0,1,79,4 months ago,Incentivized | Verified Purchaser | Owned for 1 week
Google Pixel 10 Pro,5,positive,0.9921,0.9885,0.0072,0.0043,1.0,99.87,1,59,4 months ago,Incentivized | Verified Purchaser
Google Pixel 10 Pro,5,positive,0.9896,0.9848,0.0095,0.0057,1.0,99.73,1,100,2 weeks ago,Incentivized | Verified Purchaser | Owned for 2 weeks
Google Pixel 10 Pro,5,positive,0.9915,0.987,0.009,0.004,1.0,99.83,1,72,2 weeks ago,Incentivized | Verified Purchaser | Owned for 1 week
Google Pixel 10 Pro,5,positive,0.9775,0.9594,0.0362,0.0044,1.0,99.05,1,5903,7 months ago,Tech Insider Network Member
